Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atalanta,31,26.0,460,278,175,210,75,173,392,44.1,219,3815,1225,32.1,1053,1781,981,413,78,3,335,406,866,397,3
Bologna,30,26.0,398,229,196,149,53,130,359,36.2,229,3718,1080,29.0,1328,1550,840,369,88,0,281,352,750,456,6
Cagliari,32,27.0,411,251,190,171,50,136,370,36.8,234,3852,1055,27.4,1368,1698,786,423,103,0,320,438,849,541,2
Empoli,27,27.0,468,294,220,175,73,151,380,39.7,229,4239,1163,27.4,1372,1815,1052,394,127,3,267,383,851,526,3
Fiorentina,28,26.0,379,222,174,149,56,155,354,43.8,199,3337,994,29.8,891,1526,920,319,67,1,252,334,713,289,8
Genoa,38,27.0,551,324,258,213,80,229,513,44.6,284,4354,1297,29.8,1508,1925,921,513,120,0,393,492,1043,547,4
Hellas Verona,28,27.0,438,284,218,164,56,139,363,38.3,224,3831,1231,32.1,1325,1668,838,439,78,3,361,402,840,630,5
Inter,26,27.0,434,287,187,170,77,145,356,40.7,211,3309,1036,31.3,969,1428,912,329,85,1,244,323,757,376,6
Juventus,29,27.0,436,279,215,164,57,129,333,38.7,204,3696,1201,32.5,1342,1544,810,417,111,1,306,391,827,499,6
Lazio,26,27.0,429,242,183,188,58,149,440,33.9,291,3664,965,26.3,1064,1662,938,388,111,2,277,359,788,418,0
Milan,28,27.0,509,325,234,196,79,162,400,40.5,238,4175,1288,30.9,1177,1903,1095,371,94,2,277,428,937,377,8
Napoli,26,27.0,404,275,187,158,59,172,416,41.3,244,3718,1151,31.0,1087,1585,1046,356,82,1,274,293,697,336,0
Roma,28,27.0,470,289,223,185,62,158,371,42.6,213,4135,1249,30.2,1362,1808,965,365,79,1,286,396,866,408,3
Salernitana,42,27.0,374,236,207,129,38,141,349,40.4,208,3342,876,26.2,1293,1353,696,397,120,1,277,395,769,534,3
Sampdoria,31,27.0,444,269,213,173,58,158,396,39.9,238,3701,1117,30.2,1292,1654,755,428,101,3,327,454,898,542,6
Sassuolo,27,27.0,367,219,189,129,49,151,359,42.1,208,3612,1036,28.7,1178,1612,822,417,100,6,317,355,722,469,16
Spezia,28,27.0,458,269,229,166,63,165,402,41.0,237,4161,1222,29.4,1474,1862,825,487,143,3,344,412,870,560,7
