id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7084,Dusan Vlahovic,25,2215,20,14.396763789467514,2,2.223673164844513,91,21,3,0,F,"Fiorentina,Juventus",15,9.828970718197525,14.342547534033656,3.7849581791087985
1209,Ciro Immobile,22,1921,19,15.264085110276937,2,1.5500819701701403,82,15,3,0,F,Lazio,15,10.696292344480753,14.368683636188507,3.4508952479809523
1102,Giovanni Simeone,25,1739,15,7.618665705434978,3,1.4916968755424023,47,15,5,0,F S,"Cagliari,Verona",15,7.618665705434978,10.47819310799241,2.057343428954482
702,Tammy Abraham,26,2238,12,15.638376876711845,3,3.906379222869873,76,28,7,0,F,Roma,10,14.115779295563698,16.234859958291054,2.5566176678985357
7006,Lautaro Martínez,24,1505,11,15.100717844441533,2,2.4913858491927385,67,20,4,0,F S,Inter,8,11.294223817065358,15.169510869309306,2.8887164257466793
1253,Edin Dzeko,25,1744,10,11.388599120080471,3,2.6200480330735445,65,27,2,0,F S,Inter,10,11.388599120080471,15.447415241971612,4.023184524849057
1592,João Pedro,26,2340,10,11.038763670250773,4,2.9887723475694656,65,21,7,0,F,Cagliari,7,7.993568463250995,12.161654375493526,3.5052852611988783
1612,Domenico Berardi,24,2116,10,7.944640416651964,12,7.412041904404759,81,59,6,0,F M,Sassuolo,7,5.660824421793222,17.518986888229847,7.8973803371191025
6208,Antonin Barak,23,1867,10,9.94859049655497,4,2.538923930376768,46,23,3,0,M,Verona,6,6.903395229950547,12.543197954073548,6.197863240726292
6253,Gianluca Scamacca,25,1364,10,7.074625564739108,0,1.0522370198741555,54,13,5,0,F S,Sassuolo,10,7.074625564739108,10.732300276868045,3.5821307664737105
865,Marko Arnautovic,24,1927,9,10.5846352186054,1,1.844951088540256,61,27,4,0,F S,Bologna,7,8.300738682970405,10.727299173362553,2.7576234843581915
1134,Mario Pasalic,25,1408,9,6.856781743466854,5,4.4439132157713175,32,26,2,0,M,Atalanta,9,6.856781743466854,13.37285453081131,3.3271554838865995
1148,Duván Zapata,17,1223,9,11.500767793506384,4,2.6834845952689648,50,23,2,0,F S,Atalanta,6,9.216911252588034,12.126816794276237,2.569528052583337
1170,Gianluca Caprari,24,1802,9,4.651494659483433,7,5.078760181553662,47,43,3,0,F S,Verona,8,3.8901958242058754,15.204727612435818,7.788571245968342
1580,Mattia Destro,18,1357,9,6.749328620731831,1,0.6139674987643957,36,8,3,0,F S,Genoa,9,6.749328620731831,7.237730905413628,0.31720447540283203
4895,Andrea Pinamonti,26,1971,9,9.05140931531787,1,2.13428077660501,71,19,2,0,F S,Empoli,6,6.767512913793325,9.44055176153779,2.114906521514058
687,Pedro,26,1827,8,3.1872277073562145,4,3.387114186771214,30,25,4,0,F S,Lazio,8,3.1872277073562145,11.799225982278585,5.8409687820822
1543,Sergej Milinkovic-Savic,26,2136,8,5.509437637403607,8,4.1586548537015915,52,34,3,1,M S,Lazio,8,5.509437637403607,12.149797992780805,7.4857737105339766
1741,Zlatan Ibrahimovic,15,897,8,7.20616440474987,2,1.67353231087327,47,21,1,0,F S,AC Milan,8,6.444865569472313,8.804593779146671,1.6256554536521435
7193,Rafael Leão,23,1688,8,6.118053982034326,3,2.611840073019266,60,23,3,0,M S,AC Milan,8,6.118053982034326,10.978380743414164,2.9943554420024157
7500,Giacomo Raspadori,26,1915,8,6.737520882859826,4,3.2476528948172927,57,34,6,0,F S,Sassuolo,8,6.737520882859826,12.743962575681508,4.53615739941597
9983,Beto,23,1769,8,7.534277906641364,0,1.512674506753683,48,16,1,0,F S,Udinese,8,7.534277906641364,9.433187649585307,2.281004125252366
502,Olivier Giroud,18,1123,7,6.581151759251952,2,1.660440120846033,29,18,2,0,F S,AC Milan,5,5.058554207906127,6.64026034809649,1.7401988226920366
591,Gerard Deulofeu,22,1638,7,4.494163952767849,2,4.698223927989602,52,44,5,0,F S,Udinese,7,4.494163952767849,8.969464495778084,1.9808325823396444
1294,Paulo Dybala,20,1453,7,6.0195638705044985,5,4.29837510548532,73,30,2,0,F S,Juventus,6,4.49696614779532,11.042827036231756,4.7679008431732655
1383,Manolo Gabbiadini,18,1152,7,3.9574741683900356,2,1.549494070932269,44,18,3,0,F S,Sampdoria,7,3.9574741683900356,4.927623305469751,0.9509926829487085
1384,Dries Mertens,20,872,7,3.8407528325915337,1,1.6166879273951054,31,18,1,0,F S,Napoli,6,3.079453982412815,6.579764410853386,3.3380361888557673
1393,Lorenzo Insigne,21,1542,7,10.674460994079709,6,4.654323207214475,69,46,1,0,F S,Napoli,1,3.822891326621175,10.763348542153835,5.141697011888027
1517,Antonio Candreva,25,2245,7,4.897793309763074,8,6.576998537406325,58,64,5,1,F M,Sampdoria,6,4.136494467034936,10.693273957818747,3.940788835287094
5322,Victor Osimhen,17,1177,7,7.566268987953663,0,1.223873782902956,54,10,3,1,F S,Napoli,7,7.566268987953663,8.97848754376173,0.9885805286467075
189,Hakan Calhanoglu,23,1644,6,4.263051511719823,8,5.416157439351082,47,57,7,0,M S,Inter,4,2.740453837439418,10.926448002457619,8.388501152396202
1471,Lorenzo Pellegrini,18,1527,6,5.965219998732209,4,5.210421359166503,64,47,3,1,M,Roma,6,5.203921223059297,9.078567648306489,3.4591235369443893
1958,Mattia Zaccagni,21,1261,6,3.7433784268796444,5,3.985377373173833,20,24,4,0,M S,"Lazio,Verona",5,2.982079606503248,7.032743576914072,1.383168201893568
2019,Federico Bonazzoli,21,1235,6,3.0188556034117937,0,0.5010590869933367,30,3,4,0,F S,Salernitana,5,2.2575567830353975,2.99227084685117,0.40673251915723085
2447,Fabián,22,1728,6,0.8886677268892527,3,2.890968914143741,29,26,2,0,M S,Napoli,6,0.8886677268892527,10.770637981593609,8.845992170274258
5353,Josip Brekalo,20,1489,6,4.441603934392333,1,3.336006172001362,35,40,1,0,F S,Torino,6,4.441603934392333,10.771466412581503,4.482397490181029
6980,Francesco Caputo,27,2064,6,6.752009075134993,5,3.524371133185923,39,30,1,0,F S,"Sampdoria,Sassuolo",6,6.752009075134993,11.964981378056109,2.7564741037786007
7947,Ruslan Malinovskiy,21,1297,6,2.8346408493816853,2,5.251962170004845,45,36,6,0,M S,Atalanta,6,2.8346408493816853,8.646600045263767,3.5521334316581488
9851,Nedim Bajrami,25,1551,6,5.388461859896779,3,3.7343031223863363,43,48,2,0,M S,Empoli,3,3.1045653950423002,7.715056270360947,3.8965466022491455
9905,David Okereke,21,1417,6,4.888862896710634,0,0.3592905178666115,34,7,1,1,S,Venezia,6,4.888862896710634,5.3337981924414635,0.9800363723188639
448,Ivan Perisic,24,1972,5,3.1299081705510616,1,3.434682469815016,30,28,3,0,D M,Inter,4,2.368609366938472,12.23224351555109,8.223477434366941
1104,Leonardo Pavoletti,23,919,5,5.22954311594367,1,0.7747658900916576,27,11,6,0,F S,Cagliari,5,5.22954311594367,6.778616718947887,1.24695098772645
1386,Piotr Zielinski,25,1685,5,2.9407729618251324,5,3.930336916819215,39,47,1,0,M S,Napoli,5,2.9407729618251324,11.029745941981673,5.700708094984293
1489,Franck Kessié,20,1419,5,3.9673120696097612,0,0.9050283562391996,19,18,1,0,M S,AC Milan,3,1.6834155786782503,7.860932778567076,5.891662556678057
