Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,31,26.0,14418,13154,1264,384,23,1834,368,258,142,70,53,5,10079,1951,2388,5192,7651,534,509,150,11773,41,224,398,330
Bologna,30,26.0,12615,11340,1275,425,14,1791,345,283,129,71,15,3,8421,1625,2569,3468,7627,560,476,200,10154,31,183,306,303
Cagliari,32,27.0,11136,9780,1356,413,8,1551,328,313,93,25,49,3,6559,1502,3075,2970,6469,526,538,160,8311,47,233,329,305
Empoli,27,27.0,12194,10761,1433,394,8,1794,271,366,145,37,64,14,8255,1589,2350,3248,7579,356,585,183,9556,59,202,375,361
Fiorentina,28,26.0,14246,13003,1243,439,16,1854,538,343,131,16,82,4,9969,1855,2422,5198,7659,436,476,174,11972,38,188,412,291
Genoa,38,27.0,11188,9857,1331,393,10,1817,295,265,110,43,47,5,6666,1647,2875,2922,6620,553,519,177,8306,44,228,396,321
Hellas Verona,28,27.0,12627,11363,1264,321,15,1880,290,336,130,61,29,8,7974,1931,2722,3687,7144,687,549,173,9688,69,252,463,370
Inter,26,27.0,15093,13978,1115,314,25,1866,492,410,166,54,82,13,10899,1789,2405,3760,9931,468,436,201,12838,33,151,394,278
Juventus,29,27.0,14296,13107,1189,389,12,1693,502,303,127,52,48,3,10144,1719,2433,4747,8189,401,451,202,11947,41,191,390,291
Lazio,26,27.0,16287,15119,1168,367,26,1980,368,291,112,54,37,4,12352,1805,2130,3634,11306,456,445,193,14007,31,165,391,260
Milan,28,27.0,14173,12964,1209,414,26,1695,359,324,132,45,47,6,10132,1665,2376,4756,8052,418,438,191,11736,51,149,371,278
Napoli,26,27.0,16895,15665,1230,371,19,1991,440,300,143,55,39,2,12728,1939,2228,5798,9794,389,498,190,14592,38,157,457,302
Roma,28,27.0,13451,12141,1310,381,29,1565,407,317,162,91,60,3,9394,1718,2339,2840,9147,433,530,177,11001,32,161,404,298
Salernitana,42,27.0,9424,8165,1259,365,9,1407,219,270,115,42,53,9,5572,1359,2493,3030,4899,432,481,176,6995,23,143,271,338
Sampdoria,31,27.0,11737,10420,1317,391,9,1857,331,310,105,20,52,3,6990,1725,3022,3225,6855,535,514,199,8809,60,216,398,344
Sassuolo,27,27.0,14492,13133,1359,455,13,1997,411,247,140,64,47,7,10616,1705,2171,4926,8326,367,458,185,12187,29,165,358,303
Spezia,28,27.0,11271,9986,1285,366,14,1656,310,228,107,53,35,4,7222,1594,2455,3779,6096,436,506,183,8724,51,228,383,272
Torino,30,26.0,12459,11279,1180,357,14,1846,350,337,116,48,39,2,7915,1684,2860,3286,7492,542,492,157,9667,58,226,264,320
Udinese,26,26.0,10042,8835,1207,363,17,1388,210,220,115,40,57,1,6610,1218,2214,2818,5945,396,458,130,7738,35,151,323,240
Venezia,35,26.0,10546,9341,1205,325,7,1626,257,273,79,34,38,0,6686,1413,2447,3093,5980,388,503,245,8090,33,204,353,292
Atalanta,30,38.0,21836,20178,1658,510,36,2969,513,432,201,84,79,24,15957,2693,3186,7704,12059,696,687,231,18159,50,271,503,491
Benevento,29,38.0,15299,13378,1921,688,32,2106,423,409,169,52,86,10,9726,1912,3661,4919,8396,695,656,260,11710,56,272,313,384
Bologna,37,38.0,18456,16618,1838,538,40,2190,487,414,201,115,47,14,12476,2488,3492,3987,12286,768,694,283,14811,64,276,411,468
Cagliari,32,38.0,16795,14893,1902,569,14,2177,391,496,170,47,82,15,10770,2276,3749,4057,10652,595,754,275,13161,54,296,377,421
Crotone,31,38.0,17169,15354,1815,599,11,2593,382,370,138,66,20,9,11621,2086,3462,4757,10565,612,619,246,13666,46,295,366,396
Fiorentina,30,38.0,17076,15156,1920,617,18,2137,591,469,168,30,101,18,11277,2230,3569,4228,10831,585,746,268,13589,54,255,302,456
Genoa,34,38.0,17793,16012,1781,523,24,2338,516,350,129,43,59,3,11691,2291,3811,4242,11480,721,703,249,14015,73,269,334,437
Hellas Verona,32,38.0,17708,15831,1877,586,20,2657,389,459,185,65,90,16,10736,2747,4225,6106,9236,847,720,192,13339,100,360,424,508
Inter,25,38.0,21593,19987,1606,453,31,2915,568,481,206,61,79,12,15977,2746,2870,5262,14525,572,649,262,18514,54,203,450,442
Juventus,30,38.0,23047,21409,1638,494,41,2696,580,517,221,50,112,14,17623,2531,2893,7539,13843,519,580,285,19971,73,240,441,412
Lazio,30,38.0,20724,19083,1641,470,41,2707,586,466,189,97,51,14,14313,2802,3609,5751,12897,713,651,304,17098,79,270,413,417
Milan,29,38.0,19490,17804,1686,493,39,2312,527,430,213,101,68,10,14098,2135,3257,5759,11857,599,648,235,16046,83,261,409,408
Napoli,25,38.0,22092,20254,1838,620,37,2723,668,470,220,76,59,15,16485,2636,2971,6913,13547,439,696,245,18947,67,240,454,426
Parma,42,38.0,18327,16553,1774,545,27,2222,619,407,154,41,62,19,12152,2400,3775,5187,11122,607,653,289,14930,73,249,347,423
Roma,31,38.0,20471,18797,1674,558,46,2487,547,437,219,82,105,7,15026,2436,3009,3446,15343,496,577,293,17066,50,214,437,452
Sampdoria,27,38.0,17627,15712,1915,603,20,2506,562,505,197,71,74,18,10884,2637,4106,5639,9797,678,757,279,13561,53,273,397,488
Sassuolo,28,38.0,23671,21973,1698,552,32,2846,428,403,208,67,73,24,18739,2254,2678,7695,14424,438,571,254,20547,50,230,409,449
Spezia,35,38.0,19428,17545,1883,676,29,2802,708,413,150,16,83,8,12842,2647,3939,5847,11540,646,745,279,15637,73,347,415,431
Torino,29,38.0,17077,15169,1908,663,21,2333,666,489,170,38,102,8,11129,2089,3859,4671,10526,594,661,232,13471,51,272,315,407
Udinese,33,38.0,17469,15704,1765,582,19,2337,450,468,163,48,75,9,12039,2330,3100,4195,11499,496,653,275,14149,71,246,413,429
Atalanta,30,38.0,21650,19792,1858,574,50,3290,562,486,248,69,116,31,15276,2960,3414,6428,13169,665,713,282,18078,39,320,272,487
Bologna,31,38.0,18276,16296,1980,618,37,2905,503,468,228,131,26,23,12220,2500,3556,4700,11420,692,737,302,14641,77,344,274,494
Brescia,32,38.0,14650,12578,2072,649,17,2415,521,428,160,23,76,23,8448,2573,3629,3575,9086,557,781,321,11010,60,335,265,460
Cagliari,33,38.0,16870,14943,1927,566,28,2380,576,488,154,50,61,22,10195,2570,4105,4371,10530,621,750,261,13303,49,321,224,432
Fiorentina,33,38.0,17131,15272,1859,575,32,2622,590,467,211,67,94,20,11298,2482,3351,4350,10941,530,705,331,13792,37,316,235,445
Genoa,34,38.0,18085,16124,1961,559,21,3162,531,486,166,40,71,12,11736,2523,3826,4305,11625,647,783,265,14405,49,259,223,480
Hellas Verona,30,38.0,17453,15523,1930,560,38,2947,438,495,207,87,87,24,10511,2909,4033,4830,10404,795,730,189,13381,85,380,257,500
Inter,29,38.0,20754,18987,1767,471,40,3014,668,542,234,79,55,25,14000,3273,3481,4972,13863,565,700,355,17321,85,242,279,526
Juventus,30,38.0,23375,21586,1789,511,55,3134,701,440,235,67,93,23,17145,3291,2939,7967,13608,494,711,347,20306,67,271,260,487
Lazio,27,38.0,19310,17661,1649,449,60,2832,642,512,218,72,88,19,13312,2736,3262,5112,12440,589,608,262,16035,61,224,287,447
Lecce,30,38.0,17086,15243,1843,568,20,2578,598,582,183,7,31,6,10731,2698,3657,5775,9595,487,594,330,13757,59,252,242,455
