Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Atalanta,31,54.5,26.0,17533,1417,4890,8438,5270,827,16322,210,407,51.6,230,20,11531,58178,29347,1311,384,155,363,324,13520,11773,87.1,1059
Bologna,30,50.4,26.0,15391,1774,5198,7420,3718,501,14158,215,382,56.3,243,17,9654,49740,25241,980,307,71,326,207,11870,10154,85.5,759
Cagliari,32,43.3,27.0,14076,1927,5258,6500,3085,461,12766,170,300,56.7,185,14,8062,42848,21829,811,254,58,325,221,10229,8311,81.2,624
Empoli,27,48.3,27.0,15303,2035,5234,6793,4344,716,13928,184,370,49.7,204,16,9510,55616,30916,1156,367,105,293,319,11424,9556,83.6,960
Fiorentina,28,57.1,26.0,16918,1900,6004,7981,4102,694,15703,186,342,54.4,204,22,11446,61297,32263,1186,414,142,331,274,13689,11972,87.5,881
Genoa,38,43.6,27.0,14589,2017,5535,6698,3145,501,13297,208,404,51.5,232,25,8229,41057,21362,813,248,95,361,319,10212,8306,81.3,680
Hellas Verona,28,51.1,27.0,15956,1676,4927,7541,4442,723,14715,217,399,54.4,238,28,9552,50925,27238,1086,384,132,384,348,11624,9688,83.3,989
Inter,26,57.0,27.0,17840,1964,5825,8265,4932,855,16766,158,294,53.7,174,16,12025,63103,32826,1210,408,116,274,248,14335,12838,89.6,1042
Juventus,29,52.7,27.0,17449,1936,5856,8604,4067,709,16304,214,384,55.7,242,23,11394,55628,28702,1103,350,139,338,324,13585,11947,87.9,920
Lazio,26,54.4,27.0,19105,1964,6212,9673,4390,614,17976,225,428,52.6,243,20,13146,63069,33662,1253,437,119,312,257,15540,14007,90.1,863
Milan,28,55.3,27.0,17211,1695,5326,8450,4612,721,16050,321,534,60.1,348,28,11455,61551,33623,1282,420,126,350,270,13496,11736,87.0,971
Napoli,26,59.3,27.0,19555,1691,5618,9681,5493,789,18362,217,372,58.3,228,11,13313,67932,37243,1581,468,193,266,270,16094,14592,90.7,993
Roma,28,51.7,27.0,16478,1596,5263,8041,4254,779,15206,208,438,47.5,238,20,10457,55685,30302,1205,385,119,351,255,12608,11001,87.3,968
Salernitana,42,39.9,27.0,12299,1663,4297,5632,3101,508,11073,183,327,56.0,195,20,6882,36558,19171,722,253,67,321,269,8745,6995,80.0,629
Sampdoria,31,45.0,27.0,14684,2070,5491,6600,3364,496,13431,157,283,55.5,173,12,8648,43018,21622,785,259,65,275,249,10737,8809,82.0,819
Sassuolo,27,55.7,27.0,17579,2153,6245,8456,4041,635,16275,235,449,52.3,266,26,11784,62666,34466,1312,412,147,397,289,13724,12187,88.8,955
Spezia,28,44.0,27.0,14458,2124,5741,6461,3143,466,13208,194,358,54.2,207,19,8656,45973,23056,832,286,95,358,335,10388,8724,84.0,649
Torino,30,54.0,26.0,15417,1446,4359,7450,4562,639,14270,191,349,54.7,209,9,9499,50436,25918,1076,372,125,379,249,11515,9667,84.0,753
Udinese,26,41.4,26.0,13003,1733,4714,5837,3270,567,11826,231,445,51.9,262,18,7781,42306,23907,936,302,107,343,294,9503,7738,81.4,568
Venezia,35,41.6,26.0,13713,2279,5977,5810,2797,388,12549,210,386,54.4,232,17,8095,43936,24312,785,269,77,291,317,9877,8085,81.9,583
Atalanta,30,54.9,38.0,26478,1943,6889,12811,8433,1304,24879,422,712,59.3,448,31,18202,94212,48906,2258,682,233,523,529,21126,18159,86.0,1936
Benevento,29,42.3,38.0,19432,2586,7411,8796,4407,776,17591,230,406,56.7,251,18,11277,62711,33333,1156,363,101,413,350,14392,11710,81.4,1050
