Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Alisson,br BRA,GK,Liverpool,29-153,1992,24.0,18,0,0,2,1,19.8,0.31,+2.8,+0.12,104,207,50.2,786,123,20.9,29.8,106,40.6,37.4,156,16,10.3,37,1.54,17.5
2,Alphonse Areola,fr FRA,GK,West Ham,29-005,1993,1.0,1,0,0,0,0,1.4,0.48,+0.4,+0.43,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0.00,7.0
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-152,1994,4.0,2,0,0,1,0,3.3,0.26,+1.3,+0.33,16,39,41.0,118,28,28.0,30.8,21,28.6,30.3,31,1,3.2,5,1.25,16.0
4,Daniel Bachmann,at AUT,GK,Watford,27-238,1994,11.0,26,3,1,4,2,21.4,0.31,-2.6,-0.24,80,206,38.8,248,40,60.9,47.1,80,68.8,51.5,101,3,3.0,8,0.73,13.7
5,Asmir Begovic,ba BIH,GK,Everton,34-257,1987,1.0,3,0,0,0,1,0.9,0.31,-1.1,-1.08,5,16,31.3,11,2,72.7,50.5,12,66.7,49.6,5,1,20.0,0,0.00,15.0
6,Jack Butland,eng ENG,GK,Crystal Palace,28-359,1993,5.5,9,0,1,1,2,6.9,0.38,-0.1,-0.02,21,73,28.8,144,23,36.1,33.1,44,47.7,40.0,57,3,5.3,2,0.36,12.1
7,Willy Caballero,ar ARG,GK,Southampton,40-157,1981,2.0,5,0,0,1,0,4.3,0.40,-0.7,-0.36,20,39,51.3,46,0,58.7,42.1,13,92.3,59.1,21,1,4.8,4,2.00,21.7
8,Karl Darlow,eng ENG,GK,Newcastle Utd,31-147,1990,8.0,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.50,14.9
9,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33-048,1989,13.0,18,1,0,2,1,19.3,0.37,+2.3,+0.17,118,264,44.7,300,45,48.0,40.9,131,91.6,62.8,104,9,8.7,4,0.31,12.3
10,Ederson,br BRA,GK,Manchester City,28-199,1993,26.0,17,1,0,1,0,15.5,0.24,-1.5,-0.06,96,176,54.5,657,115,22.7,29.9,100,27.0,32.7,130,11,8.5,26,1.00,17.0
11,Łukasz Fabiański,pl POL,GK,West Ham,36-320,1985,26.0,33,2,1,4,0,33.6,0.30,+0.6,+0.02,174,420,41.4,478,94,57.1,45.2,198,74.2,54.6,235,10,4.3,6,0.23,12.1
12,Álvaro Fernández,es ESP,GK,Brentford,23-325,1998,12.0,24,1,0,5,2,24.7,0.36,+2.7,+0.23,82,247,33.2,417,56,48.0,38.6,83,56.6,41.0,123,7,5.7,10,0.83,14.3
13,Fraser Forster,eng ENG,GK,Southampton,33-352,1988,9.0,11,2,0,1,1,12.6,0.29,+2.6,+0.29,67,183,36.6,222,28,56.8,45.3,69,82.6,56.5,106,8,7.5,6,0.67,12.2
14,Ben Foster,eng ENG,GK,Watford,38-335,1983,15.0,21,0,0,4,0,18.9,0.34,-2.1,-0.14,137,375,36.5,372,38,69.1,50.9,133,88.7,63.4,153,7,4.6,14,0.93,16.0
15,David de Gea,es ESP,GK,Manchester Utd,31-117,1990,27.0,34,1,0,4,2,42.7,0.32,+10.7,+0.40,98,268,36.6,429,86,37.1,35.9,212,51.4,42.9,213,7,3.3,6,0.22,13.7
16,Vicente Guaita,es ESP,GK,Crystal Palace,35-053,1987,21.5,29,3,1,9,0,24.9,0.27,-4.1,-0.19,110,227,48.5,533,117,31.9,31.8,134,42.5,34.7,163,14,8.6,10,0.47,14.3
17,Angus Gunn,eng ENG,GK,Norwich City,26-041,1996,7.0,18,2,0,2,0,18.7,0.40,+0.7,+0.11,46,112,41.1,162,32,53.1,40.3,62,41.9,38.5,69,6,8.7,6,0.86,14.6
18,Wayne Hennessey,wls WAL,GK,Burnley,35-039,1987,2.0,6,0,0,1,1,4.2,0.34,-0.8,-0.38,26,65,40.0,59,8,76.3,57.8,21,95.2,69.9,20,1,5.0,3,1.50,15.9
19,Caoimhín Kelleher,ie IRL,GK,Liverpool,23-101,1998,2.0,2,0,0,0,0,2.6,0.32,+0.6,+0.28,8,16,50.0,77,12,18.2,26.3,13,15.4,26.3,11,0,0.0,3,1.50,16.4
20,Tim Krul,nl NED,GK,Norwich City,33-335,1988,19.0,37,4,0,5,2,34.0,0.33,-1.0,-0.05,131,342,38.3,571,94,46.1,40.3,147,53.7,45.0,168,7,4.2,8,0.42,12.8
21,Bernd Leno,de GER,GK,Arsenal,30-000,1992,3.0,9,0,0,1,0,7.1,0.39,-1.9,-0.65,11,39,28.2,61,11,37.7,36.3,26,61.5,45.7,30,2,6.7,1,0.33,13.1
22,Hugo Lloris,fr FRA,GK,Tottenham,35-068,1986,25.0,32,2,0,3,1,32.8,0.31,+1.8,+0.07,125,256,48.8,429,95,39.6,35.5,193,44.6,36.3,248,15,6.0,20,0.80,15.0
23,Jonas Lössl,dk DEN,GK,Brentford,33-031,1989,2.0,5,0,0,0,0,3.3,0.46,-1.7,-0.87,13,30,43.3,49,6,53.1,38.9,13,30.8,34.2,14,0,0.0,4,2.00,19.8
24,Emiliano Martínez,ar ARG,GK,Aston Villa,29-183,1992,24.0,34,3,2,5,1,28.5,0.26,-4.5,-0.19,138,346,39.9,555,97,45.4,38.9,187,50.3,42.3,188,10,5.3,18,0.75,14.3
25,Alex McCarthy,eng ENG,GK,Southampton,32-091,1989,15.0,21,0,0,6,0,20.8,0.35,-0.2,-0.02,72,241,29.9,341,61,46.3,39.9,109,76.1,56.8,135,17,12.6,3,0.20,12.4
26,Edouard Mendy,sn SEN,GK,Chelsea,30-003,1992,21.0,16,4,0,1,1,16.1,0.20,+1.1,+0.05,73,167,43.7,477,82,26.4,29.7,109,37.6,32.5,168,15,8.9,14,0.67,14.0
27,Illan Meslier,fr FRA,GK,Leeds United,22-002,2000,26.0,60,5,2,10,1,50.6,0.31,-8.4,-0.32,106,326,32.5,778,182,32.3,31.7,206,36.4,35.2,151,14,9.3,26,1.00,14.6
28,Jordan Pickford,eng ENG,GK,Everton,27-362,1994,23.0,38,1,1,8,2,34.9,0.30,-1.1,-0.05,178,517,34.4,564,79,66.1,50.9,175,82.3,64.7,193,15,7.8,17,0.74,15.6
29,Nick Pope,eng ENG,GK,Burnley,29-319,1992,23.0,26,0,1,6,0,27.3,0.30,+1.3,+0.06,208,536,38.8,494,82,74.5,53.3,182,92.3,64.9,230,22,9.6,37,1.61,18.7
30,Aaron Ramsdale,eng ENG,GK,Arsenal,23-294,1998,21.0,18,3,0,0,0,17.6,0.20,-0.4,-0.02,128,355,36.1,607,104,42.5,38.1,128,75.8,58.9,168,16,9.5,15,0.71,15.0
31,David Raya,es ESP,GK,Brentford,26-170,1995,13.0,15,1,0,2,0,15.7,0.26,+0.7,+0.05,144,356,40.4,478,63,56.3,43.6,111,78.4,56.1,122,10,8.2,18,1.38,15.5
32,José Sá,pt POR,GK,Wolves,29-046,1993,26.0,21,4,1,1,1,29.4,0.25,+9.4,+0.36,112,357,31.4,562,146,45.7,41.1,189,52.9,43.7,245,24,9.8,27,1.04,15.0
33,Robert Sánchez,es ESP,GK,Brighton,24-106,1997,25.0,28,2,0,4,0,27.1,0.27,-0.9,-0.04,141,405,34.8,914,107,33.5,36.3,154,64.3,51.6,211,28,13.3,27,1.08,15.1
34,Kasper Schmeichel,dk DEN,GK,Leicester City,35-119,1986,24.0,43,5,1,11,1,38.9,0.29,-3.1,-0.13,172,426,40.4,653,95,47.9,40.2,204,55.4,45.5,206,15,7.3,11,0.46,12.7
35,Jason Steele,eng ENG,GK,Brighton,31-198,1990,1.0,2,0,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50.0,43.8,11,1,9.1,0,0.00,13.0
