Player;Yearly Salary;Age;Position;Nationality
Romelu Lukaku;18200000;28;ST;Belgium
N'Golo Kanté;15080000;30;DM;France
Timo Werner;13936000;25;AM L ST;Germany
Saúl;10764000;26;DM M RLC;Spain
Ben Chilwell;9880000;24;D/WB L;England
César Azpilicueta;7800000;31;D RLC;Spain
Mateo Kovacic;7800000;27;DM AM C;Croatia
Ruben Loftus-Cheek;7800000;25;AM C;England
Kai Havertz;7800000;22;AM/F C;Germany
Christian Pulisic;7800000;22;AM RLC;U.S.A.
Kepa Arrizabalaga;7540000;26;GK;Spain
Callum Hudson-Odoi;6240000;20;WB R AM RLC;England
Jorginho;5720000;29;DM;Italy
Antonio Rudiger;5200000;28;D RC;Germany
Marcos Alonso;5200000;30;D/WB/M L;Spain
Ross Barkley;5200000;27;AM C;England
Hakim Ziyech;5200000;28;AM RLC;Morocco
Thiago Silva;4940000;36;D C;Brazil
Andreas Christensen;4316000;25;D C DM;Denmark
Mason Mount;3952000;22;AM RLC;England
Reece James;3016000;21;D RC;England
Edouard Mendy;2704000;29;GK;Senegal
Charly Musonda;2184000;24;AM RLC;Belgium
Malang Sarr;1768000;22;D LC;France
Lewis Baker;1560000;26;DM AM C;England
Marcus Bettinelli;1508000;29;GK;England
Trevoh Chalobah;624000;22;D C DM;England
Bryan Fiabema;286000;18;AM RL ST;Norway
Bashir Humphreys;182000;18;D C DM;England
Derrick Abu;176800;17;D/WB RL;England
Yerry Mina;6240000;26;D C;Colombia
Abdoulaye Doucouré;6240000;28;DM AM C;France
Allan;6240000;30;DM;Brazil
André Gomes;6240000;27;M C;Portugal
Jordan Pickford;5720000;27;GK;England
Richarlison;5720000;24;AM RL ST;Brazil
Alex Iwobi;5200000;25;WB R AM RLC;Nigeria
Fabian Delph;4784000;31;D L DM;England
Jean-Philippe Gbamin;3900000;25;D C DM;Ivory Coast
Dele Alli;4160000;25;AM LC F C;England
Dominic Calvert-Lewin;3744000;24;AM RL ST;England
Michael Keane;3588000;28;D C;England
Cenk Tosun;3588000;30;ST;Turkey
Ben Godfrey;3536000;23;D RC DM;England
Seamus Coleman;3536000;32;D/WB/M R;Ireland
Mason Holgate;3328000;24;D RC;England
Andros Townsend;2496000;29;AM RL;England
Asmir Begovic;2236000;34;GK;Bosnia & Herzegovina
Salomón Rondón;2236000;31;ST;Venezuela
Demarai Gray;2184000;25;AM RLC;Jamaica
Tom Davies;1664000;23;DM;England
Jonjoe Kenny;780000;24;D/WB R;England
Andy Lonergan;286000;37;GK;England
Jarrad Branthwaite;265200;19;D RLC;England
Anthony Gordon;130000;20;AM RLC F C;England
Charlie Whitaker;72800;17;AM RLC;England
Einar Iversen;67600;20;DM;Norway
Ellis Simms;67600;20;ST;England
Joe Anderson;57200;20;D L;England
Imam Jagne;57200;17;M C;Sweden
Rodrigo;5200000;30;AM RLC F C;Spain
Patrick Bamford;3848000;27;AM/F C;England
Raphinha;3276000;24;AM RL;Brazil
Jack Harrison;3120000;24;AM RL;England
Diego Llorente;2964000;27;D C;Spain
Júnior Firpo;2860000;24;D/WB L;Spain
Stuart Dallas;2756000;30;D RL AM RLC;N.Ireland
Daniel James;2704000;23;AM RL;Wales
Illan Meslier;2132000;21;GK;France
Robin Koch;1976000;24;D C DM;Germany
Kalvin Phillips;1976000;25;DM;England
Liam Cooper;1820000;29;D C;Scotland
Luke Ayling;1820000;29;D RC;England
Mateusz Klich;1768000;31;AM C;Poland
Pascal Struijk;1508000;21;D C DM;Holland
Adam Forshaw;1456000;29;DM;England
Tyler Roberts;1144000;22;AM RLC F C;Wales
Jamie Shackleton;884000;21;D R M C;England
Kristoffer Klaesson;780000;20;GK;Norway
Crysencio Summerville;436800;20;AM RL;Holland
Charlie Cresswell;280800;18;D C;England
Joe Gelhardt;265200;19;AM/F C;England
Cody Drameh;228800;19;D/WB RL;England
Nohan Kenneh;202800;18;D C DM;England
Lewis Bate;156000;18;DM;England
Sam Greenwood;135200;19;AM RLC F C;England
Amari Miller;130000;18;AM R ST;England
Dani van den Heuvel;124800;18;GK;Holland
Jack Jenkins;109200;19;DM;England
Liam McCarron;104000;20;AM RL;England
Virgil van Dijk;12480000;30;D C;Holland
Thiago;11700000;30;DM AM C;Spain
Mohamed Salah;11700000;29;AM RL ST;Egypt
Sadio Mané;10400000;29;AM RLC F C;Senegal
Alisson;9880000;28;GK;Brazil
Jordan Henderson;9880000;31;DM;England
