Player;Yearly Salary;Age;Position;Nationality
Victor Kovalenko;2444000;25;AM C;Ukraine
Dimitris Nikolaou;1508000;22;D C;Greece
Jeroen Zoet;1300000;30;GK;Holland
Arkadiusz Reca;1144000;26;D/WB/M L;Poland
Mehdi Bourabia;884000;29;DM;Morocco
Kelvin Amian;780000;23;D RC;France
Daniele Verde;728000;25;AM RLC;Italy
Janis Antiste;676000;18;AM RL, ST;France
Jacopo Sala;624000;29;D/WB/M R;Italy
Kevin Agudelo;624000;22;AM RC;Colombia
Rey Manaj;572000;24;ST;Albania
M'Bala Nzola;468000;24;ST;Angola
Léo Sena;468000;25;AM C;Brazil
Ivan Provedel;421200;27;GK;Italy
Ebrima Colley;327600;21;AM LC, F C;The Gambia
Giulio Maggiore;322400;23;DM;Italy
Salva Ferrer;291200;23;D RC;Spain
Eddie Salcedo;275600;19;AM LC, F C;Italy
Aurélien Nguiamba;234000;22;D C, DM;France
Emmanuel Gyasi;223600;27;AM RL;Ghana
Martin Erlic;202800;23;D C;Croatia
David Strelec;176800;20;AM/F C;Slovakia
Jakub Kiwior;161200;21;D LC;Poland
Suf Podgoreanu;135200;19;AM RL;Israel
Simone Bastoni;135200;24;D/WB L, M LC;Italy
Aimar Sher;78000;18;AM C;Sweden
Petko Hristov;41600;22;D C;Bulgaria
Henoc N'Gbesso;24440;18;AM RL, ST;Italy
Birgir Steinn Styrmisson;22880;17;D RLC, M C;Iceland
Leonardo Gabelli;17680;19;M C;Italy
Antonio Candreva;2236000;34;AM RC;Italy
Fabio Quagliarella;2028000;38;ST;Italy
Albin Ekdal;1872000;31;DM;Sweden
Manolo Gabbiadini;1664000;29;AM RLC, F C;Italy
Adrien Silva;1560000;32;DM;Portugal
Omar Colley;1456000;28;D C;The Gambia
Emil Audero;1352000;24;GK;Italy
Francesco Caputo;1352000;33;ST;Italy
Maya Yoshida;1248000;32;D C;Japan
Ronaldo Vieira;1092000;22;DM;England
Nicola Murru;1040000;26;D/WB/M L;Italy
Valerio Verre;936000;27;AM/F C;Italy
Mohamed Ihattaren;884000;19;AM RLC;Holland
Bartosz Bereszyński;884000;28;D/WB R;Poland
Ernesto Torregrossa;832000;29;ST;Italy
Alex Ferrari;780000;27;D RC;Italy
Morten Thorsby;624000;25;DM;Norway
Julian Chabot;572000;23;D C;Germany
Fabio Depaoli;483600;24;D/WB/M R;Italy
Tommaso Augello;395200;26;D/WB L;Italy
Radu Dragusin;296400;19;D C;Romania
Kristoffer Askildsen;156000;20;DM;Norway
Mikkel Damsgaard;150800;21;AM RLC;Denmark
Nicola Ravaglia;150800;32;GK;Italy
Nik Prelec;98800;20;AM R, ST;Slovenia
Wladimiro Falcone;72800;26;GK;Italy
Riccardo Ciervo;35360;19;AM RL;Italy
Christian Maianti;27040;17;GK;Italy
Ardit Lika;23400;17;ST;Albania
Ivan Mario Saio;19240;19;GK;Italy
Domenico Berardi;2964000;26;AM RLC, F C;Italy
Andrea Consigli;1716000;34;GK;Italy
Grégoire Defrel;1404000;30;AM RC, F C;France
Filip Duricic;1196000;29;AM LC;Serbia
Maxime Lopez;1196000;23;DM, AM C;France
Francesco Magnanelli;1196000;36;DM;Italy
Davide Frattesi;1196000;21;DM;Italy
Vlad Chiriches;1092000;31;D C;Romania
Federico Peluso;1040000;37;D LC;Italy
Pedro Obiang;1040000;29;DM;Eq. Guinea
Gian Marco Ferrari;988000;29;D C;Italy
Rogério;988000;23;D/WB/M L;Brazil
Jeremy Toljan;936000;26;D/WB RL, M R;Germany
Edoardo Goldaniga;884000;27;D C;Italy
Hamed Junior Traoré;832000;21;AM C;Ivory Coast
