Goals per Game,Seasons
1.222222,1988-07-01
1.055556,1989-07-01
1.055556,1990-07-01
1.388889,1991-07-01
1.444444,1992-07-01
1.277778,1993-07-01
1.444444,1994-07-01
1.333333,1995-07-01
1.333333,1996-07-01
1.500000,1997-07-01
1.222222,1998-07-01
1.333333,1999-07-01
1.444444,2000-07-01
1.333333,2001-07-01
1.333333,2002-07-01
1.333333,2003-07-01
1.200000,2004-07-01
1.550000,2005-07-01
1.300000,2006-07-01
1.050000,2007-07-01
1.250000,2008-07-01
1.450000,2009-07-01
1.400000,2010-07-01
1.400000,2011-07-01
1.450000,2012-07-01
1.100000,2013-07-01
1.100000,2014-07-01
1.800000,2015-07-01
1.450000,2016-07-01
1.450000,2017-07-01
1.300000,2018-07-01
1.800000,2019-07-01
1.450000,2020-07-01
